\U0001F469\U0001F3FE\U0000200D\U0001F33E	woman farmer: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F33E	woman farmer: dark skin tone
\U0001F468\U0000200D\U0001F373	man cook
\U0001F468\U0001F3FB\U0000200D\U0001F373	man cook: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F373	man cook: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F373	man cook: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F373	man cook: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F373	man cook: dark skin tone
\U0001F469\U0000200D\U0001F373	woman cook
\U0001F469\U0001F3FB\U0000200D\U0001F373	woman cook: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F373	woman cook: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F373	woman cook: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F373	woman cook: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F373	woman cook: dark skin tone
\U0001F468\U0000200D\U0001F527	man mechanic
\U0001F468\U0001F3FB\U0000200D\U0001F527	man mechanic: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F527	man mechanic: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F527	man mechanic: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F527	man mechanic: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F527	man mechanic: dark skin tone
\U0001F469\U0000200D\U0001F527	woman mechanic
\U0001F469\U0001F3FB\U0000200D\U0001F527	woman mechanic: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F527	woman mechanic: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F527	woman mechanic: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F527	woman mechanic: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F527	woman mechanic: dark skin tone
\U0001F468\U0000200D\U0001F3ED	man factory worker
\U0001F468\U0001F3FB\U0000200D\U0001F3ED	man factory worker: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F3ED	man factory worker: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F3ED	man factory worker: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F3ED	man factory worker: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F3ED	man factory worker: dark skin tone
\U0001F469\U0000200D\U0001F3ED	woman factory worker
\U0001F469\U0001F3FB\U0000200D\U0001F3ED	woman factory worker: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F3ED	woman factory worker: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F3ED	woman factory worker: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F3ED	woman factory worker: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F3ED	woman factory worker: dark skin tone
\U0001F468\U0000200D\U0001F4BC	man office worker
\U0001F468\U0001F3FB\U0000200D\U0001F4BC	man office worker: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F4BC	man office worker: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F4BC	man office worker: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F4BC	man office worker: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F4BC	man office worker: dark skin tone
\U0001F469\U0000200D\U0001F4BC	woman office worker
\U0001F469\U0001F3FB\U0000200D\U0001F4BC	woman office worker: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F4BC	woman office worker: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F4BC	woman office worker: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F4BC	woman office worker: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F4BC	woman office worker: dark skin tone
\U0001F468\U0000200D\U0001F52C	man scientist
\U0001F468\U0001F3FB\U0000200D\U0001F52C	man scientist: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F52C	man scientist: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F52C	man scientist: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F52C	man scientist: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F52C	man scientist: dark skin tone
\U0001F469\U0000200D\U0001F52C	woman scientist
\U0001F469\U0001F3FB\U0000200D\U0001F52C	woman scientist: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F52C	woman scientist: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F52C	woman scientist: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F52C	woman scientist: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F52C	woman scientist: dark skin tone
\U0001F468\U0000200D\U0001F4BB	man technologist
\U0001F468\U0001F3FB\U0000200D\U0001F4BB	man technologist: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F4BB	man technologist: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F4BB	man technologist: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F4BB	man technologist: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F4BB	man technologist: dark skin tone
\U0001F469\U0000200D\U0001F4BB	woman technologist
\U0001F469\U0001F3FB\U0000200D\U0001F4BB	woman technologist: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F4BB	woman technologist: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F4BB	woman technologist: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F4BB	woman technologist: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F4BB	woman technologist: dark skin tone
\U0001F468\U0000200D\U0001F3A4	man singer
\U0001F468\U0001F3FB\U0000200D\U0001F3A4	man singer: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F3A4	man singer: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F3A4	man singer: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F3A4	man singer: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F3A4	man singer: dark skin tone
\U0001F469\U0000200D\U0001F3A4	woman singer
